"generation","iteration","region","window_coords","snp_count","T2D","T1D_p1","T1D_p2","new_term_p1","new_term_p2","T2D_diff","FST"
2000,18,"background","1 500001-1000000",1471,335.637720332194,17.9175995189798,47.5518759706356,317.720120813214,288.085844361558,350.454858558021,0.000456237
3000,18,"foreground","1 1000001-1500000",2341,836.211816323645,68.6452824566622,57.0326411696406,767.566533866982,779.179175154004,830.405495680134,0.00311239
3000,18,"background","1 500001-1000000",2334,232.921510096785,48.0651774678845,41.1045624897779,184.8563326289,191.816947607007,229.441202607732,0.00286089
4000,18,"foreground","1 1000001-1500000",2489,614.707364248334,216.819295382687,122.39814748587,397.888068865646,492.309216762464,567.496790299925,0.00878128
4000,18,"background","1 500001-1000000",2832,221.19962780457,9.44150905345668,20.2953256070541,211.758118751113,200.904302197516,226.626536081369,0.00339255
5000,18,"foreground","1 1000001-1500000",2946,6656.8390245448,12.3229420440257,252.316286809237,6644.51608250077,6404.52273773556,6776.8356969274,0.149941
5000,18,"background","1 500001-1000000",2785,303.819059921334,70.8184825504177,47.3892001727654,233.000577370916,256.429859748569,292.104418732508,0.00514798
2000,19,"foreground","1 1000001-1500000",1435,459.246386772727,144.208251922049,83.7343545119602,315.038134850678,375.512032260767,429.009438067683,0.00074568
2000,19,"background","1 500001-1000000",1508,506.188653649231,121.221535380535,34.4572343751624,384.967118268696,471.731419274069,462.806503146545,0.000708584
3000,19,"foreground","1 1000001-1500000",2502,621.349653448648,16.2574487238635,18.0219406167744,605.092204724784,603.327712831873,622.231899395103,0.00839577
3000,19,"background","1 500001-1000000",2764,290.752352596071,12.171195151237,52.9935601349644,278.581157444834,237.758792461107,311.163535087935,0.00288145
4000,19,"foreground","1 1000001-1500000",2685,668.335671100591,132.71686336138,16.7208475479492,535.618807739211,651.614823552642,610.337663193875,0.0333271
4000,19,"background","1 500001-1000000",2903,285.146442389072,47.0015986297294,103.525994559684,238.144843759343,181.620447829388,313.40864035405,0.00511903
5000,19,"foreground","1 1000001-1500000",2848,4980.87632007596,93.4539916337126,186.629787631784,4887.42232844225,4794.24653244418,5027.464218075,0.301917
5000,19,"background","1 500001-1000000",3179,451.925010117717,83.6964522186754,136.480066452317,368.228557899041,315.444943665399,478.316817234538,0.00810784
2000,20,"foreground","1 1000001-1500000",1512,371.153328678764,154.336725142926,53.8847666222882,216.816603535837,317.268562056475,320.927349418444,0.000539032
2000,20,"background","1 500001-1000000",1457,214.068856558539,8.38669643765388,5.37523516101828,205.682160120885,208.69362139752,212.563125920221,0.000707633
3000,20,"foreground","1 1000001-1500000",2241,482.127699305085,82.2854736762674,108.376682739545,399.842225628818,373.75101656554,495.173303836724,0.00325026
3000,20,"background","1 500001-1000000",2293,235.84536324468,18.9364366442351,15.3993298159912,216.908926600445,220.446033428689,234.076809830558,0.00247707
4000,20,"background","1 500001-1000000",2653,257.129383464271,23.1598410481383,94.4906053927807,233.969542416133,162.63877807149,292.794765636592,0.0029489
5000,20,"foreground","1 1000001-1500000",2901,12990.3175953326,285.11520047934,823.193782831237,12705.2023948533,12167.1238125014,13259.3568865086,0.0139994
5000,20,"background","1 500001-1000000",3128,409.139301192074,55.5020128958058,22.9721608675973,353.637288296268,386.167140324476,392.874375177969,0.00376613
2000,21,"foreground","1 1000001-1500000",1503,281.277087701721,8.90865611785739,13.3581821812786,272.368431583864,267.918905520442,283.501850733432,0.00048203
2000,21,"background","1 500001-1000000",1400,389.683092473952,23.5432779252224,42.9388676598646,366.139814548729,346.744224814087,399.380887341273,0.000799553
3000,21,"foreground","1 1000001-1500000",2378,536.828454769628,13.8858876555678,120.972517996321,522.94256711406,415.855936773307,590.371769940004,0.0151705
3000,21,"background","1 500001-1000000",2340,379.925288224124,31.970523805634,22.9289132194863,347.95476441849,356.996375004637,375.40448293105,0.00383432
4000,21,"foreground","1 1000001-1500000",2778,383.885975001867,73.4173816367729,35.797097349001,310.468593365094,348.088877652866,365.075832857981,0.27191
4000,21,"background","1 500001-1000000",2843,439.110067219517,19.7930054018179,22.5668643579374,419.317061817699,416.54320286158,440.496996697577,0.006022
5000,21,"foreground","1 1000001-1500000",2587,8668.21920745661,10.3343144873561,407.717133093342,8657.88489296925,8260.50207436327,8866.9106167596,0.474947
5000,21,"background","1 500001-1000000",3194,412.709927483767,40.9099636107931,73.2883836992223,371.799963872974,339.421543784545,428.899137527982,0.00984083
2000,22,"foreground","1 1000001-1500000",1581,391.140866707618,35.8924618495075,2.83088401057466,355.24840485811,388.309982697043,374.610077788151,0.000576283
2000,22,"background","1 500001-1000000",1316,349.61605896055,57.3633208492593,18.584638911103,292.25273811129,331.031420049447,330.226717991472,0.000818592
3000,22,"foreground","1 1000001-1500000",2337,387.485857007174,139.702531953611,66.7835343484949,247.783325053562,320.702322658679,351.026358204615,0.00237865
3000,22,"background","1 500001-1000000",2364,213.179993096415,5.70881720681791,41.5108900921332,207.471175889597,171.669103004282,231.081029539073,0.00292304
4000,22,"foreground","1 1000001-1500000",2718,870.975167424742,70.3472917462932,303.615105109606,800.627875678449,567.360062315136,987.609074106398,0.00495937
4000,22,"background","1 500001-1000000",2853,289.353358495915,94.5687481947643,103.212129306929,194.784610301151,186.141229188986,293.675049051997,0.00215142
5000,22,"foreground","1 1000001-1500000",2744,6739.10187910362,569.865353679244,103.568460179053,6169.23652542437,6635.53341892457,6505.95343235352,0.00632906
5000,22,"background","1 500001-1000000",3145,386.267975571624,40.7983031077565,50.3747349918376,345.469672463867,335.893240579786,391.056191513664,0.00255733
2000,23,"foreground","1 1000001-1500000",1535,838.048093675548,57.0280065499592,75.2865291374401,781.020087125589,762.761564538108,847.177354969289,0.000443951
2000,23,"background","1 500001-1000000",1608,237.938904568073,13.8873001519223,9.59690477500226,224.05160441615,228.34199979307,235.793706879613,0.00072025
3000,23,"foreground","1 1000001-1500000",2280,567.568036859451,55.8200480671585,38.0731913788259,511.747988792293,529.494845480625,558.694608515285,0.0189563
3000,23,"background","1 500001-1000000",2379,186.747404522976,14.870004737546,54.6458254567406,171.87739978543,132.101579066235,206.635314882573,0.00309309
4000,23,"foreground","1 1000001-1500000",2764,1080.10282377831,164.010210497228,105.19582835351,916.092613281082,974.906995424801,1050.69563270645,0.0434592
4000,23,"background","1 500001-1000000",2698,539.270863268706,125.293596258725,131.836746633504,413.977267009981,407.434116635202,542.542438456096,0.00349264
5000,23,"foreground","1 1000001-1500000",2893,4774.43443799141,412.663954556785,29.8463827710293,4361.77048343463,4744.58805522038,4583.02565209853,0.209003
5000,23,"background","1 500001-1000000",3172,299.542206183076,122.7055202435,40.9138009840572,176.836685939576,258.628405199019,258.646346553354,0.00661289
2000,24,"foreground","1 1000001-1500000",1304,765.288909639721,116.300484472664,18.9634116341058,648.988425167057,746.325498005615,716.620373220442,0.000894122
2000,24,"background","1 500001-1000000",1512,258.129189117277,5.92858044121385,64.723321750098,252.200608676063,193.405867367179,287.526559771719,0.000550471
3000,24,"foreground","1 1000001-1500000",2182,525.446233435297,65.9908142961795,99.3189325682506,459.455419139118,426.127300867047,542.110292571333,0.00495044
3000,24,"background","1 500001-1000000",2266,213.487112872263,60.1329377673246,36.400871703634,153.354175104938,177.086241168628,201.621079840417,0.00455451
4000,24,"background","1 500001-1000000",2988,286.072103751692,21.9715741547443,25.1004397191246,264.100529596948,260.971664032568,287.636536533882,0.00240183
5000,24,"foreground","1 1000001-1500000",2807,11753.1875315909,461.335194210333,32.9570760832639,11291.8523373806,11720.2304555076,11538.9984725274,0.186238
5000,24,"background","1 500001-1000000",2928,284.150902569105,64.5692598991955,102.092347785565,219.581642669909,182.05855478354,302.91244651229,0.00365507
2000,25,"foreground","1 1000001-1500000",1432,423.802489579108,9.05894240923044,28.8095631672131,414.743547169877,394.992926411895,433.677799958099,0.00060457
2000,25,"background","1 500001-1000000",1586,312.2558006705,10.5011165380402,15.2434605082253,301.75468413246,297.012340162275,314.626972655593,0.000772287
3000,25,"foreground","1 1000001-1500000",2379,291.629834429252,2.55328119060505,23.6691139901595,289.076553238647,267.960720439092,302.187750829029,0.00255753
3000,25,"background","1 500001-1000000",2479,420.760625294537,35.8660622769166,19.9507882208782,384.89456301762,400.809837073659,412.802988266518,0.0031186
4000,25,"foreground","1 1000001-1500000",2538,789.312366356568,73.7470604277623,180.423943848517,715.565305928805,608.888422508051,842.650808066945,0.0210009
4000,25,"background","1 500001-1000000",2870,350.405065836094,9.31265523314869,6.45385108675691,341.092410602945,343.951214749337,348.975663762898,0.00255806
