generation,iteration,region,window_coords,snp_count,T2D,T1D_p1,T1D_p2,new_term_p1,new_term_p2,T2D_diff
4000,84,background,1 500001-1000000,2873,429.14486910901906,9.3940665005357,32.758044174268434,419.75080260848335,396.3868249347506,440.8268579458854
4000,84,foreground,1 1000001-1500000,2889,3657.5346578064054,108.98496589039496,341.51956235883335,3548.5496919160105,3316.015095447572,3773.8019560406246
4000,70,background,1 1-500000,2778,578.79459536168,219.0090549735687,40.6032296353078,359.78554038811126,538.1913657263722,489.5916826925495
4000,70,background,1 500001-1000000,2826,488.40129403644823,30.65284849960517,255.51932206262427,457.74844553684306,232.88197197382397,600.8345308179578
4000,70,foreground,1 1000001-1500000,2765,11715.505216336256,58.35662906438483,45.16994669747055,11657.148587271871,11670.335269638785,11708.911875152799
4000,48,background,1 1-500000,2855,382.2038624691995,49.70865269100614,16.997925034964283,332.4952097781934,365.20593743423524,365.8484986411786
4000,48,background,1 500001-1000000,2814,456.1319823950471,50.01062198639556,66.05661707722174,406.1213604086515,390.07536531782534,464.1549799404602
4000,48,foreground,1 1000001-1500000,2654,9569.503872005782,116.22736328105384,22.566997136788814,9453.276508724728,9546.936874868992,9522.67368893365
4000,77,background,1 1-500000,2926,509.3534291735559,40.49969307205174,471.393551579411,468.8537361015042,37.95987759414493,724.8003584272356
4000,77,background,1 500001-1000000,2796,346.31208230800985,41.99959252940607,52.20045771578589,304.3124897786038,294.11162459222396,351.41251490119976
4000,77,foreground,1 1000001-1500000,2578,7627.511090402724,236.84229775176573,218.23417912751756,7390.6687926509585,7409.276911275207,7618.2070310906
4000,83,background,1 1-500000,2971,435.0695739189832,40.996855001310905,81.44547082253484,394.0727189176723,353.6241030964484,455.2938818295952
4000,83,background,1 500001-1000000,2808,397.94002862102934,26.758655950332468,162.47305985620915,371.1813726706969,235.4669687648202,465.7972305739677
4000,83,foreground,1 1000001-1500000,2610,8956.608342760534,64.36942015732711,79.85517839987097,8892.238922603206,8876.753164360664,8964.351221881805
4000,23,background,1 1-500000,2942,818.7567917494889,19.19500048185364,43.54296081931898,799.5617912676353,775.2138309301699,830.9307719182216
4000,23,background,1 500001-1000000,2769,465.0866098952247,8.671436658580205,41.104566197940585,456.4151732366445,423.9820436972841,481.3031746649049
4000,23,foreground,1 1000001-1500000,2686,9219.007371788444,41.520894308181596,6.703334534839087,9177.486477480263,9212.304037253605,9201.598591901773
4000,24,background,1 1-500000,2782,293.5588598047325,9.818161004739522,41.945809154432936,283.74069879999297,251.61305065029956,309.6226838795792
4000,24,background,1 500001-1000000,2798,488.4582334723382,63.44564979680581,172.27581926280982,425.01258367553237,316.18241420952836,542.8733182053402
4000,24,foreground,1 1000001-1500000,2866,10918.738209011877,69.60282397429546,27.567909278686784,10849.135385037582,10891.17029973319,10897.720751664074
4000,12,background,1 1-500000,2789,593.2441046436943,28.949498066904198,45.87670865595646,564.2946065767901,547.3673959877378,601.7077099382204
4000,12,background,1 500001-1000000,2981,443.47946518752724,9.49006402287705,98.49750371410119,433.9894011646502,344.98196147342605,487.9831850331393
4000,12,foreground,1 1000001-1500000,2636,10959.384697322424,55.87706548952883,21.46924947829939,10903.507631832896,10937.915447844125,10942.18078931681
4000,15,background,1 1-500000,2807,399.97610152707057,107.81730936499662,25.324921201816323,292.15879216207395,374.65118032525424,358.7299074454804
4000,15,background,1 500001-1000000,2821,299.2947451439686,26.374232128906442,30.28736770175965,272.92051301506217,269.00737744220896,301.2513129303952
4000,15,foreground,1 1000001-1500000,2658,9113.400947455797,145.10427435442398,67.69694322656505,8968.296673101373,9045.704004229232,9074.697281891868
4000,49,background,1 1-500000,2833,421.4185871373411,54.49348196655046,125.99669941566754,366.92510517079063,295.42188772167356,457.17019586189963
4000,49,background,1 500001-1000000,2801,441.34590324680903,100.75894357564903,9.88906979917374,340.58695967116,431.4568334476353,395.9109663585714
4000,49,foreground,1 1000001-1500000,2528,6388.977070462657,74.88119614706011,43.934344626791244,6314.095874315597,6345.042725835866,6373.503644702523
4000,82,background,1 1-500000,2960,408.2977214238708,19.274452062672935,45.08484954646701,389.0232693611979,363.2128718774038,421.20292016576786
4000,82,background,1 500001-1000000,2524,495.7528335851821,26.457863480500237,26.991199257920016,469.29497010468185,468.7616343272621,496.019501473892
4000,82,foreground,1 1000001-1500000,2851,10724.326190357824,58.35611708443503,18.78256948131275,10665.970073273389,10705.543620876511,10704.539416556263
